Name,Cinsiyet,Doğum Yılı,Eğitim Durumu,Sınıf (üni),Kayıtlı olduğun üniversite,Kayıtlı olduğun bölüm,Mezun olduğun üniversite,Mezun olduğun bölüm
recXsOeC46N2GIOYy,Kadın,1989,Lisans Mezunu,,,,Kütahya Dumlupınar Üniversitesi,Fizik
recDHqcKsod5BDTG7,Kadın,2002,Lisans,4,Kocaeli Üniversitesi,Endüstri Mühendisliği,,
recgtpnhgMOhAPawg,Kadın,2006,Lisans,Hazırlık,Yıldız Teknik Üniversitesi,Çevre Mühendisliği,,
recvQPIJc5Oczxez4,Erkek,2002,Lisans,4,İstanbul Aydın Üniversitesi,Endüstri Mühendisliği (İngilizce),,
recwLukOesl8NhWWQ,Kadın,2003,Lisans,2,Mef Üniversitesi (İstanbul),İşletme (İngilizce),,
recj1YBbNpsiak2rO,Erkek,2005,Lisans,1,Boğaziçi Üniversitesi (İstanbul),Makine Mühendisliği (İngilizce),,
recTdFEPHSzK0Q4hJ,Erkek,2004,Lisans,2,Karabük Üniversitesi,Bilgisayar Mühendisliği,,
recppboELtscYTdne,Erkek,2005,Lisans,Hazırlık,İstanbul Aydın Üniversitesi,Yazılım Mühendisliği (İngilizce),,
recUrVwyYptmhwAr6,Kadın,2003,Lisans,3,Selçuk Üniversitesi (Konya),Yönetim Bilişim Sistemleri,,
rectgdLlDz03CI9il,Erkek,2005,Lisans,1,Ankara Yıldırım Beyazıt Üniversitesi,Bilgisayar Mühendisliği,,
rechAzELhuXZL1bEK,Kadın,2004,Ön Lisans Mezunu,,,,Hatay Mustafa Kemal Üniversitesi,Bilgisayar Teknolojisi ve Bilişim Sistemleri
reczubc6Geo2QJU9c,Erkek,2004,Lisans,2,Yıldız Teknik Üniversitesi,Biyomühendislik (İngilizce),,
reciVNf3YZdGyGyn5,Kadın,2005,Lise Mezunu,,,,,
recsImT9Ks887KpCT,Erkek,2010,Lise,,,,,
reckCjUbmSjGyhb3G,Erkek,2003,Lisans,3,Dokuz Eylül Üniversitesi (İzmir),Yönetim Bilişim Sistemleri,,
recamTDekoNruLONY,Kadın,2004,Lisans,1,Erciyes Üniversitesi (Kayseri),Endüstri Mühendisliği,,
reci43DJX2yMshJmc,Kadın,2001,Lisans,4,Orta Doğu Teknik Üniversitesi (Ankara),Biyoloji,,
rec6BYaJBhpsP7eGL,Kadın,2003,Lisans,2,Ege Üniversitesi (İzmir),İstatistik,,
recnrigPyvFiB8OEf,Kadın,2005,Lisans,1,İstanbul Ayvansaray Üniversitesi,Yönetim Bilişim Sistemleri (İngilizce),,
recJ5zvrsVRl0HCMU,Erkek,2005,Lisans,Hazırlık,Kto Karatay Üniversitesi (Konya),Bilgisayar Mühendisliği (İngilizce),,
rec3e3eDfGJ8QEjo3,Kadın,2001,Lisans,3,Bahçeşehir Üniversitesi (İstanbul),İşletme (İngilizce),,
reckn0lhqS8ZlmH2H,Kadın,2003,Lisans,2,Boğaziçi Üniversitesi (İstanbul),İşletme,,
rec8mS33m9VE6X5YY,Kadın,2002,Lisans,2,Yeditepe Üniversitesi (İstanbul),Siyaset Bilimi ve Uluslararası İlişkiler (Fransızca),,
recpmPAsstyKuNxSf,Kadın,1999,Lisans Mezunu,,,,Kocaeli Üniversitesi,Endüstri Mühendisliği
reclH2vEIuhq1Kpf2,Kadın,2002,Lisans,3,İzmir Yüksek Teknoloji Enstitüsü,Fotonik (İngilizce),,
recvZ6k9t3j2SrPTH,Kadın,2002,Lisans,4,İstanbul Üniversitesi,Matematik (İngilizce),,
recAI8TqYi3JFbosc,Belirtmek istemiyorum.,1999,Ön Lisans,2,Kastamonu Üniversitesi,Bilgisayar Bilimleri,,
recq3ylXX3AJuO7TU,Kadın,1998,Lisans Mezunu,,,,Harran Üniversitesi (Şanlıurfa),Bilgisayar Mühendisliği
recC9H35lShU24LyI,Kadın,2003,Lisans,3,Süleyman Demirel Üniversitesi (Isparta),Endüstri Mühendisliği,,
recQTyfcGk8uyuK7P,Kadın,2003,Lisans,3,Yıldız Teknik Üniversitesi,Kimya (İngilizce),,
recxWitPoC8qdPbpJ,Kadın,2002,Lisans,2,Yıldız Teknik Üniversitesi,İstatistik (İngilizce),,
recyVj03BKLSVUFh0,Kadın,2003,Lisans,2,Mef Üniversitesi (İstanbul),İşletme (İngilizce),,
reckeTkrKggNCleHn,Kadın,2001,Lisans Mezunu,,,,Ondokuz Mayıs Üniversitesi (Samsun),Kimya Mühendisliği
recgSoPjCoBG027sk,Erkek,2004,Lisans,1,Gebze Teknik Üniversitesi,İktisadi ve İdari Programlar (İngilizce),,
rec1ZHw9xmpqbMF6C,Kadın,2003,Lisans,2,Sakarya Uygulamalı Bilimler Üniversitesi,Elektrik-Elektronik Mühendisliği,,
rec3pYM5n7Vo4ijHa,Kadın,2005,Lisans,1,Ege Üniversitesi (İzmir),Kimya Mühendisliği (İngilizce),,
reccsGTg5cVXxd0gX,Kadın,2004,Lisans,2,Beykent Üniversitesi (İstanbul),Bilgisayar Mühendisliği (İngilizce),,
recrdhLf0sza9922o,Kadın,2006,Lisans,1,İstanbul Üniversitesi,"Radyo, Televizyon ve Sinema (Uzaktan Öğretim)",,
rec285BQzaQyOB1Zt,Kadın,2004,Lisans,2,Atatürk Üniversitesi (Erzurum),Endüstri Mühendisliği,,
recAP269VlIT9KCIJ,Erkek,2001,Lisans Mezunu,,,,Ordu Üniversitesi,Moleküler Biyoloji ve Genetik
recBU0PGsCiaUpk1y,Erkek,2001,Ön Lisans,2,İstanbul Gelişim Üniversitesi,Çeviribilimi (İngilizce),,
recZK1HCFJHTVbNv6,Kadın,2003,Lisans,2,İstanbul Üniversitesi,Astronomi ve Uzay Bilimleri,,
rec1OXU37zsL334yY,Kadın,2009,Lise,,,,,
recyj0dcYgkr5otmI,Kadın,2004,Lisans,1,Ankara Sosyal Bilimler Üniversitesi,İşletme,,
rec954p8mfdsJjJjo,Kadın,2004,Lisans,3,Trakya Üniversitesi (Edirne),Bankacılık ve Sigortacılık,,
rec9ohMMyEiyXn8t1,Kadın,2008,Lise,,,,,
rec82vLhLScAiilKW,Erkek,2002,Lisans,2,İstanbul Teknik Üniversitesi,Matematik Mühendisliği,,
recDF926m77nK8Rf6,Erkek,1999,Lisans Mezunu,,,,İstanbul Teknik Üniversitesi,Geomatik Mühendisliği (İngilizce)
rec7ebxNfFBS5c1fQ,Erkek,2004,Lisans,3,Burdur Mehmet Akif Ersoy Üniversitesi,Yönetim Bilişim Sistemleri,,
recysmp532H4wK2Nt,Kadın,2000,Lisans,4,Eskişehir Teknik Üniversitesi,Kimya Mühendisliği (İngilizce),,
recHO6VDsyWA6NWVn,Kadın,2005,Lisans,1,Boğaziçi Üniversitesi (İstanbul),Bilgisayar Mühendisliği (İngilizce),,
recfJRfmVay6wTWVX,Kadın,2004,Lisans,3,Bursa Teknik Üniversitesi,Matematik,,
recfgEk36Qve1ofBB,Kadın,2002,Lisans,3,İstanbul Üniversitesi,Yönetim Bilişim Sistemleri (İngilizce),,
rect5zd627Sz6c3bh,Kadın,2003,Lisans,4,Necmettin Erbakan Üniversitesi (Konya),Özel Eğitim Öğretmenliği,,
recUQuCBiernbEAXA,Kadın,2004,Lisans,3,Haliç Üniversitesi (İstanbul),Makine Mühendisliği (İngilizce),,
rec4vX5y8mW5aMfpc,Kadın,2004,Lisans,2,Fırat Üniversitesi (Elazığ),Yazılım Mühendisliği,,
recdPRK3brXjtDQh1,Kadın,2006,Lisans,Hazırlık,Mef Üniversitesi (İstanbul),Makine Mühendisliği,,
recaMRQBYL5VBQfD0,Kadın,2005,Lisans,2,Marmara Üniversitesi (İstanbul),İşletme,,
recMaAoHpgm1FYi92,Erkek,2005,Lisans,Hazırlık,İstanbul Üniversitesi-Cerrahpaşa,Almanca Öğretmenliği,,
rech0yQfCTzzOZCb2,Kadın,2005,Lisans,1,Koç Üniversitesi (İstanbul),Moleküler Biyoloji ve Genetik (İngilizce),,
rec1pCcAtuhyZRbNm,Kadın,2000,Lisans,2,Çanakkale Onsekiz Mart Üniversitesi,İlahiyat (Arapça) (M.T.O.K.),,
recq1kwbA2bpMXseg,Kadın,2006,Lisans,Hazırlık,Galatasaray Üniversitesi (İstanbul),Sosyoloji (Fransızca),,
recDphccKNOzJ0z59,Kadın,2004,Lisans,3,Ege Üniversitesi (İzmir),İşletme,,
recchXfCh5DSTHs23,Kadın,2003,Lisans,3,Akdeniz Üniversitesi (Antalya),Çocuk Gelişimi,,
recwZ0BMSRoOsuxGS,Kadın,2004,Lisans,2,Konya Teknik Üniversitesi,Endüstri Mühendisliği,,
rect8SWSQpznwzrM2,Kadın,2005,Lisans,1,Kadir Has Üniversitesi (İstanbul),Endüstri Mühendisliği (İngilizce),,
recESDGtgmEXlTKL4,Erkek,2010,Lise,,,,,
recw1QH3ol9PDD0bY,Kadın,2006,Lisans,Hazırlık,Boğaziçi Üniversitesi (İstanbul),İnşaat Mühendisliği (İngilizce),,
reck970dTEQUJGK8A,Kadın,2000,Lisans,2,İstanbul Medipol Üniversitesi,Yönetim Bilişim Sistemleri,,
recV7n62YTh6YGSS4,Erkek,2004,Lisans,1,Trakya Üniversitesi (Edirne),Bilgisayar Mühendisliği,,
recwjw0dO39QYigdt,Erkek,2006,Lisans,1,Fırat Üniversitesi (Elazığ),Yapay Zeka ve Veri Mühendisliği (İngilizce),,
recHKK93vDExImQ28,Kadın,2005,Lisans,1,İstanbul Teknik Üniversitesi,İşletme Mühendisliği (İngilizce),,
recR6obyTMnKCTUSy,Kadın,2003,Lisans,2,Düzce Üniversitesi,Bilgisayar Mühendisliği,,
recp55ZP634q1aYyB,Erkek,2006,Lisans,Hazırlık,Tekirdağ Namık Kemal Üniversitesi,Bilgisayar Mühendisliği,,
recs4wLScfzPRHl9X,Kadın,2004,Lisans,Hazırlık,Necmettin Erbakan Üniversitesi (Konya),Endüstri Mühendisliği (İngilizce),,
recLP2RBUT3Z7K25D,Kadın,2002,Lisans,4,Alanya Alaaddin Keykubat Üniversitesi (Antalya),Endüstri Mühendisliği,,
